Model,F1 (Weighted),Precision,Recall,CV F1 (5-fold)
Logistic Regression (Baseline),0.8275463196999996,0.8545711464193942,0.8049897215473744,0.8255784084099652
XGBoost Intermediate,0.8179758579595088,0.8099228580533673,0.8467576153989909,0.8156526865486647
XGBoost Advanced (Tuned),0.8482488572450124,0.837457488678951,0.8691833302186507,0.8489517065876798
