year_month,total_reviews,complaints,average_rating,complaint_rate,rolling_avg_complaints,z_score,complaint_anomaly,rolling_spike,alert
2023-05,781,86,4.469910371318822,0.11011523687580026,,-0.3028172844574205,False,False,Normal
2023-06,876,89,4.494292237442922,0.10159817351598173,,-0.2985397687314376,False,False,Normal
2023-07,833,87,4.497601918465228,0.10444177671068428,87.33333333333333,-0.3013914458820929,False,False,Normal
2023-08,684,50,4.5891812865497075,0.07309941520467836,75.33333333333333,-0.35414747316921535,False,False,Normal
2023-09,716,51,4.638268156424581,0.0712290502793296,62.666666666666664,-0.3527216345938877,False,False,Normal
2023-10,672,54,4.584821428571429,0.08035714285714286,51.666666666666664,-0.34844411886790483,False,False,Normal
2023-11,537,54,4.5083798882681565,0.1005586592178771,53.0,-0.34844411886790483,False,False,Normal
2023-12,529,47,4.561436672967864,0.0888468809073724,51.666666666666664,-0.35842498889519825,False,False,Normal
2024-01,514,43,4.56420233463035,0.08365758754863813,48.0,-0.36412834319650883,False,False,Normal
2024-02,477,41,4.5744234800838575,0.0859538784067086,43.666666666666664,-0.3669800203471641,False,False,Normal
2024-03,423,36,4.581560283687943,0.0851063829787234,40.0,-0.37410921322380225,False,False,Normal
2024-04,369,29,4.6043360433604335,0.07859078590785908,35.333333333333336,-0.3840900832510957,False,False,Normal
2024-05,387,38,4.573643410852713,0.09819121447028424,34.333333333333336,-0.371257536073147,False,False,Normal
2024-06,281,39,4.3487544483985765,0.1387900355871886,35.333333333333336,-0.36983169749781936,False,False,Normal
2024-07,190,45,3.968421052631579,0.23684210526315788,40.666666666666664,-0.36127666604585357,False,False,Normal
2024-08,372,75,4.029569892473118,0.20161290322580644,53.0,-0.3185015087860245,False,False,Normal
2024-09,672,97,4.255952380952381,0.14434523809523808,72.33333333333333,-0.2871330601288165,False,False,Normal
2024-10,1216,200,4.157072368421052,0.16447368421052633,124.0,-0.14027168687007008,False,True, Complaint spike detected
2024-11,1370,234,4.124817518248175,0.1708029197080292,177.0,-0.09179317530893048,False,False,Normal
2024-12,1338,208,4.2025411061285505,0.1554559043348281,214.0,-0.128864978267449,False,False,Normal
2025-01,1196,156,4.290133779264214,0.13043478260869565,199.33333333333334,-0.20300858418448603,False,False,Normal
2025-02,1091,120,4.342804766269477,0.10999083409715857,161.33333333333334,-0.2543387728962809,False,False,Normal
2025-03,1235,190,4.208906882591093,0.15384615384615385,155.33333333333334,-0.15453007262334642,False,False,Normal
2025-04,1248,212,4.1610576923076925,0.16987179487179488,174.0,-0.12316162396613846,False,False,Normal
2025-05,1211,202,4.182493806771263,0.16680429397192403,201.33333333333334,-0.13742000971941482,False,False,Normal
2025-06,1173,186,4.183290707587383,0.1585677749360614,200.0,-0.16023342692465697,False,False,Normal
2025-07,1216,201,4.154605263157895,0.16529605263157895,196.33333333333334,-0.13884584829474245,False,False,Normal
2025-08,1666,407,3.8631452581032413,0.24429771908763506,264.6666666666667,0.15487689822275041,False,True, Complaint spike detected
2025-09,1515,340,3.9366336633663366,0.22442244224422442,316.0,0.05934571367579886,False,False,Normal
2025-10,1353,371,3.7679231337767924,0.27420546932742057,372.6666666666667,0.10354670951095556,False,False,Normal
2025-11,1238,278,3.9289176090468496,0.2245557350565428,329.6666666666667,-0.029056277994514525,False,False,Normal
2025-12,1625,255,4.208615384615385,0.15692307692307692,301.3333333333333,-0.06185056522705014,False,False,Normal
2026-01,2542,336,4.285208497246263,0.13217938630999213,289.6666666666667,0.05364235937448832,False,False,Normal
2026-02,2882,445,4.200208188757807,0.15440666204024983,345.3333333333333,0.20905876408520058,False,False,Normal
2026-03,2750,354,4.310181818181818,0.12872727272727272,378.3333333333333,0.07930745373038575,False,False,Normal
2026-04,12766,4285,3.556869810433965,0.33565721447595176,1694.6666666666667,5.68427889334332,True,True, Complaint spike detected
2026-05,3562,1099,3.69371139809096,0.30853453116226837,1912.6666666666667,1.141557192349474,False,False,Normal
